x,y,z,altitude,latitude,longitude,date
24172,-557,-37098,57.27272727272727,42.224,-8.723,2024-06-24
24164,-558,-37085,57.97979797979798,42.224,-8.723,2024-06-24
24156,-558,-37073,58.686868686868685,42.224,-8.723,2024-06-24
24149,-558,-37060,59.39393939393939,42.224,-8.723,2024-06-24
24141,-559,-37047,60.101010101010104,42.224,-8.723,2024-06-24
24133,-559,-37035,60.80808080808081,42.224,-8.723,2024-06-24
24125,-560,-37022,61.515151515151516,42.224,-8.723,2024-06-24
24117,-560,-37009,62.22222222222222,42.224,-8.723,2024-06-24
24109,-560,-36997,62.92929292929293,42.224,-8.723,2024-06-24
24102,-561,-36984,63.63636363636363,42.224,-8.723,2024-06-24
24094,-561,-36971,64.34343434343434,42.224,-8.723,2024-06-24
24086,-561,-36959,65.05050505050505,42.224,-8.723,2024-06-24
24078,-562,-36946,65.75757575757575,42.224,-8.723,2024-06-24
24070,-562,-36933,66.46464646464646,42.224,-8.723,2024-06-24
24062,-563,-36921,67.17171717171718,42.224,-8.723,2024-06-24
24055,-563,-36908,67.87878787878788,42.224,-8.723,2024-06-24
24047,-563,-36895,68.58585858585859,42.224,-8.723,2024-06-24
24039,-564,-36883,69.29292929292929,42.224,-8.723,2024-06-24
24031,-564,-36870,70.0,42.224,-8.723,2024-06-24
